"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"05/20/2020","30","Ozone","West Johnston Co.","37-101-0002","AQS","2","30","5","11","6"
"05/21/2020","31","Ozone","West Johnston Co.","37-101-0002","AQS","2","31","10","23","8"
"05/22/2020","38","PM2.5","Millbrook School","37-183-0014","AQS","3","38","14","38","10"
"05/23/2020","51","PM2.5","Millbrook School","37-183-0014","AQS","5","38","18","51","12"
"05/24/2020","56","PM2.5","Millbrook School","37-183-0014","AQS","6","39","19","56","9"
"05/25/2020","40","PM2.5","Millbrook School","37-183-0014","AQS","2","28","13","40","3"
"05/26/2020","41","PM2.5","Millbrook School","37-183-0014","AQS","2","26","13","41","8"
"05/27/2020","30","PM2.5","Millbrook School","37-183-0014","AQS","2","20","12","30","8"
"05/28/2020","35","PM2.5","Millbrook School","37-183-0014","AQS","3","24","14","35","."
"05/29/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","3","30","17","36","15"
"05/30/2020","42","Ozone","Millbrook School","37-183-0014","AQS","3","42","15","41","8"
"05/31/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","2","35","19","53","7"
"06/01/2020","44","Ozone","West Johnston Co.","37-101-0002","AQS","3","44","15","37","15"
"06/02/2020","59","PM2.5","Millbrook School","37-183-0014","AQS","3","44","24","59","14"
"06/03/2020","75","PM2.5","Millbrook School","37-183-0014","AQS","3","49","32","75","10"
"06/04/2020","82","PM2.5","Millbrook School","37-183-0014","AQS","5","47","37","82","13"
"06/05/2020","54","PM2.5","Millbrook School","37-183-0014","AQS","3","31","19","54","13"
"06/06/2020","56","PM2.5","Millbrook School","37-183-0014","AQS","3","45","19","56","8"
"06/07/2020","62","PM2.5","Millbrook School","37-183-0014","AQS","3","47","24","62","5"
"06/08/2020","63","PM2.5","Millbrook School","37-183-0014","AQS","3","46","27","63","16"
"06/09/2020","59","PM2.5","Millbrook School","37-183-0014","AQS","3","36","26","59","14"
"06/10/2020","48","PM2.5","Millbrook School","37-183-0014","AQS","3","30","19","48","3"
"06/11/2020","35","PM2.5","Millbrook School","37-183-0014","AQS","3","23","15","35","3"
