"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"08/24/2020","30","PM2.5","IRMO","45-063-0008","AQS","0","15","15","30","4"
"08/25/2020","22","PM2.5","IRMO","45-063-0008","AQS","0","22","11","22","4"
"08/26/2020","29","PM2.5","PARKLANE","45-079-0007","AQS","0","25","15","29","10"
"08/27/2020","47","PM2.5","PARKLANE","45-079-0007","AQS","1","26","27","47","9"
"08/28/2020","36","PM2.5","IRMO","45-063-0008","AQS","1","29","17","36","6"
"08/29/2020","29","PM2.5","IRMO","45-063-0008","AQS","0","22","12","29","4"
"08/30/2020","40","PM2.5","IRMO","45-063-0008","AQS","1","36","16","40","5"
"08/31/2020","48","PM2.5","PARKLANE","45-079-0007","AQS","2","27","14","48","6"
"09/01/2020","38","PM2.5","IRMO","45-063-0008","AQS","0","35","16","38","7"
"09/02/2020","46","PM2.5","PARKLANE","45-079-0007","AQS","1","31","19","46","8"
"09/03/2020","66","PM2.5","PARKLANE","45-079-0007","AQS","0","33","39","66","10"
"09/04/2020","62","PM2.5","PARKLANE","45-079-0007","AQS","0","34","35","62","8"
"09/05/2020","43","PM2.5","PARKLANE","45-079-0007","AQS","1","37","14","43","4"
"09/06/2020","36","Ozone","PARKLANE","45-079-0007","AQS","1","36","9","28","2"
"09/07/2020","38","Ozone","PARKLANE","45-079-0007","AQS","1","38","11","32","4"
"09/08/2020","38","PM2.5","PARKLANE","45-079-0007","AQS","1","34","16","38","3"
"09/09/2020","21","PM2.5","IRMO","45-063-0008","AQS","0","20","8","21","1"
"09/10/2020","20","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","20","7","17","1"
"09/11/2020","26","PM2.5","PARKLANE","45-079-0007","AQS","1","24","11","26","6"
"09/12/2020","21","PM2.5","PARKLANE","45-079-0007","AQS","1","17","9","21","2"
"09/13/2020","32","PM2.5","PARKLANE","45-079-0007","AQS","0","25","11","32","2"
"09/14/2020","33","PM2.5","PARKLANE","45-079-0007","AQS","1","32","17","33","3"
"09/15/2020","35","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","35","12","30","3"
"09/16/2020","28","PM2.5","IRMO","45-063-0008","AQS","0","25","13","28","2"
